radial,AG,EN,CH,CS,IN,MF,,holgura,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,mejora potencial,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,AG,EN,CH,CS,IN,MF,DS1,DS2,DE
,-6,-4.5,-2.25,-2.25,-5.25,-6,,3,11.72,1.46,0,0,4.39,17.58,3,3,0.06,,3,-17.72,-5.96,-2.25,-2.25,-9.64,-23.58,3,3,0.06,,3,24,18,9,9,21,24,12,12,0.25,,3,-74%,-33%,-25%,-25%,-46%,-98%,25%,25%,25%
,-1.42,-0.55,-0.98,-1.2,-2.18,-1.64,,4,5.16,0,0,0.1,-0.01,6.96,2.27,1.42,0.01,,4,-6.57,-0.54,-0.98,-1.3,-2.17,-8.59,2.27,1.42,0.01,,4,13,5,9,11,20,15,12,13,0.1,,4,-51%,-11%,-11%,-12%,-11%,-57%,19%,11%,11%
,-4,-4.5,-2.25,-2.25,-5.25,-4,-12,5,0,0.75,0,0,2.25,3,3,3,3.68,,5,-4,-5.25,-2.25,-2.25,-7.5,-7,3,3,3.68,,5,16,18,9,9,21,16,12,12,0.15,,5,-25%,-29%,-25%,-25%,-36%,-44%,25%,25%,2450%
,-5.75,-4.5,-2.25,-2.25,-5.25,-6,,6,0,0.09,0,0,0.28,1.13,3,3,6.9,,6,-5.75,-4.59,-2.25,-2.25,-5.53,-7.13,3,3,6.9,,6,23,18,9,9,21,24,12,12,0.18,,6,-25%,-26%,-25%,-25%,-26%,-30%,25%,25%,3834%
,-3.79,-2.84,-2.13,-2.13,-4.98,-5.69,,7,2.78,0,0,0,1.12,15.47,3.01,2.84,0.33,,7,-6.57,-2.85,-2.13,-2.13,-6.1,-21.15,3.01,2.84,0.33,,7,16,12,9,9,21,24,12,12,0.08,,7,-41%,-24%,-24%,-24%,-29%,-88%,25%,24%,409%
,-3.79,-2.84,-2.13,-2.13,-4.98,-5.69,,8,2.78,0,0,0,1.12,15.47,3.01,2.84,0.27,,8,-6.57,-2.85,-2.13,-2.13,-6.1,-21.15,3.01,2.84,0.27,,8,16,12,9,9,21,24,12,12,0.15,,8,-41%,-24%,-24%,-24%,-29%,-88%,25%,24%,182%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,9,11.77,1.47,0,0,4.41,17.65,3,3,0.05,,9,-17.77,-5.97,-2.25,-2.25,-9.66,-23.65,3,3,0.05,,9,24,18,9,9,21,24,12,12,0.22,,9,-74%,-33%,-25%,-25%,-46%,-99%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,10,11.73,1.47,0,0,4.4,17.6,3,3,0.06,,10,-17.73,-5.97,-2.25,-2.25,-9.65,-23.6,3,3,0.06,,10,24,18,9,9,21,24,12,12,0.24,,10,-74%,-33%,-25%,-25%,-46%,-98%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,11,11.72,1.46,0,0,4.39,17.58,3,3,0.06,,11,-17.72,-5.96,-2.25,-2.25,-9.64,-23.58,3,3,0.06,,11,24,18,9,9,21,24,12,12,0.25,,11,-74%,-33%,-25%,-25%,-46%,-98%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,12,11.72,1.46,0,0,4.39,17.58,3,3,0.06,,12,-17.72,-5.96,-2.25,-2.25,-9.64,-23.58,3,3,0.06,,12,24,18,9,9,21,24,12,12,0.25,,12,-74%,-33%,-25%,-25%,-46%,-98%,25%,25%,25%
