DMU,efficiency,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,,,,,,,,,,
1,1,0,0.01,0,0,0.037,0,0,0.028,0.051,1,16,8,9,11,25,19,14,15,11.5,,,1,0.000%,7.960%,0.000%,0.000%,92.040%,0.000%,0.000%,41.729%,58.271%,,,PROMEDIO,0.010588108,0.040934842,0.786607131,0.078390701,0.082068384,0.001410834,0.505906307,0.48421545,0.009878243
2,1,0,0,0.111,0,0,0,0,0.063,0,2,24,18,9,9,21,24,15,16,0.05,,,2,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,MEDIAna,0,0,1,0,0,0,0.48808933,0.496270396,0
3,0.75,0,0,0.111,0,0,0,0,0.063,0,3,24,18,9,9,21,24,12,12,0.25,,,3,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,Max,0,0,0,0,0,0,0,0,0
4,0.891,0,0.03,0.081,0,0.006,0,0,0.069,0.008,4,13,5,9,11,20,15,12,13,0.1,,,4,0.000%,15.015%,72.973%,0.000%,12.012%,0.000%,0.000%,99.911%,0.089%,,,Min,0.384384384,0.28742515,1,0.607142857,0.957746479,0.119119119,1,1,0.58271237
5,0.75,0,0,0.111,0,0,0,0.063,0,0,5,16,18,9,9,21,16,12,12,0.15,,,5,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,Desvicion,0.042536305,0.068367524,0.334510811,0.153270086,0.197078743,0.011306223,0.468185878,0.468699003,0.065255947
6,0.75,0,0,0.111,0,0,0,0.063,0,0,6,23,18,9,9,21,24,12,12,0.18,,,6,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,curtosis,51.79812461,2.95659927,0.788841845,3.21026761,8.495821184,101.0942337,-1.890400311,-1.888754116,61.15784585
7,0.763,0,0.004,0.08,0.026,0,0,0,0.064,0,7,16,12,9,9,21,24,12,12,0.08,,,7,0.000%,4.790%,71.856%,23.353%,0.000%,0.000%,0.000%,100.000%,0.000%,,,Coefi,6.529897855,1.875731672,-1.463748984,2.002451359,2.885776315,9.799224258,-0.025496924,0.060442011,7.697040511
8,0.763,0,0.004,0.08,0.026,0,0,0,0.064,0,8,16,12,9,9,21,24,12,12,0.15,,,8,0.000%,4.790%,71.856%,23.353%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
9,0.75,0,0,0.111,0,0,0,0,0.063,0,9,24,18,9,9,21,24,12,12,0.22,,,9,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
10,0.75,0,0,0.111,0,0,0,0,0.063,0,10,24,18,9,9,21,24,12,12,0.24,,,10,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,Mean,Mediana,Max,Min,Desviación,Curtosis,Coeficiente  asimetría,
